doctor_key,doctor_name,department_name,qualification,registration_number,hospital_name,city,hospital_address,hospital_phone,hospital_website,room_number,consultation_fee,source_url,last_verified_at,data_status
aiims-ramesh-general,Dr. Ramesh Kumar,General Medicine,"MBBS, MD (Medicine)",DMC-1234,AIIMS New Delhi,Delhi,"Ansari Nagar, New Delhi",011-26588500,https://www.aiims.edu,Room 101,700,https://www.aiims.edu,2026-05-30,sample_demo
aiims-sunita-general,Dr. Sunita Sharma,General Medicine,"MBBS, DNB (Internal Medicine)",DMC-1235,AIIMS New Delhi,Delhi,"Ansari Nagar, New Delhi",011-26588500,https://www.aiims.edu,Room 102,800,https://www.aiims.edu,2026-05-30,sample_demo
safdarjung-amit-general,Dr. Amit Patel,General Medicine,"MBBS, MD",DMC-1244,Safdarjung Hospital,Delhi,"Ring Road, New Delhi",011-26165060,http://vmmc-sjh.nic.in,Room 201,600,http://vmmc-sjh.nic.in,2026-05-30,sample_demo
apollo-ramesh-general,Dr. Ramesh Kumar,General Medicine,"MBBS, MD (Medicine)",DMC-1234,Apollo Hospitals,Delhi,"Sarita Vihar, New Delhi",011-29871090,https://delhi.apollohospitals.com,Room 301,900,https://delhi.apollohospitals.com,2026-05-30,sample_demo
max-sunita-general,Dr. Sunita Sharma,General Medicine,"MBBS, DNB (Internal Medicine)",DMC-1235,Max Super Speciality Hospital,Delhi,"Saket, New Delhi",011-26515050,https://www.maxhealthcare.in,Room 401,1000,https://www.maxhealthcare.in,2026-05-30,sample_demo
aiims-anil-cardio,Dr. Anil Gupta,Cardiology,"MBBS, MD, DM (Cardiology)",DMC-1236,AIIMS New Delhi,Delhi,"Ansari Nagar, New Delhi",011-26588500,https://www.aiims.edu,Room 110,900,https://www.aiims.edu,2026-05-30,sample_demo
safdarjung-neha-cardio,Dr. Neha Singh,Cardiology,"MBBS, MD (Medicine), DNB (Cardiology)",DMC-1237,Safdarjung Hospital,Delhi,"Ring Road, New Delhi",011-26165060,http://vmmc-sjh.nic.in,Room 210,800,http://vmmc-sjh.nic.in,2026-05-30,sample_demo
fortis-meera-cardio,Dr. Meera Nair,Cardiology,"MBBS, DM (Cardiology)",DMC-1245,Fortis Escorts Heart Institute,Delhi,"Okhla Road, New Delhi",011-47135000,https://www.fortishealthcare.com,Room 510,1200,https://www.fortishealthcare.com,2026-05-30,sample_demo
max-anil-cardio,Dr. Anil Gupta,Cardiology,"MBBS, MD, DM (Cardiology)",DMC-1236,Max Super Speciality Hospital,Delhi,"Saket, New Delhi",011-26515050,https://www.maxhealthcare.in,Room 410,1200,https://www.maxhealthcare.in,2026-05-30,sample_demo
apollo-meera-cardio,Dr. Meera Nair,Cardiology,"MBBS, DM (Cardiology)",DMC-1245,Apollo Hospitals,Delhi,"Sarita Vihar, New Delhi",011-29871090,https://delhi.apollohospitals.com,Room 310,1300,https://delhi.apollohospitals.com,2026-05-30,sample_demo
